[(132, 'Pan-Island Expressway'),
 (2, 'College Link'),
 (2, 'Coleman Street'),
 (2, 'Coleman Bridge'),
 (2, 'Cold Storage'),
 (2, 'Club Street'),
 (2, 'Clover Rise'),
 (2, 'Clover Avenue'),
 (2, 'Clifton Vale'),
 (2, 'Cleantech Heights'),
 (2, 'CleanTech View'),
 (2, 'Circular Road'),
 (2, 'Chwee Chian View'),
 (2, 'Chun Tin Road'),
 (2, 'Chuan Place'),
 (2, 'Chuan Garden'),
 (2, 'Chuan Drive'),
 (2, 'Chuan Close'),
 (2, 'Chua Chu Kang Way'),
 (2, 'Choa Chu Kang West Flyover'),
 (2, 'Choa Chu Kang Street 64'),
 (2, 'Choa Chu Kang North Park Connector'),
 (2, 'Choa Chu Kang North 6'),
 (2, 'Choa Chu Kang Central'),
 (2, 'Choa Chu Kang Avenue 6'),
 (2, 'Choa Chu Kang Avenue 2'),
 (2, 'Chip Bee Gardens'),
 (2, 'Chinese Garden'),
 (2, 'China Street'),
 (2, 'Chin Chew Street'),
 (2, 'Chestnut Green'),
 (2, 'Chestnut Gardens'),
 (2, 'Chestnut Crescent'),
 (2, 'Cheow Keng Road'),
 (2, 'Cheng Soon Crescent'),
 (2, 'Chee Hoon Ave'),
 (2, 'Chay Yan Street'),
 (2, 'Chartwell Drive'),
 (2, 'Charlton Lane'),
 (2, 'Charles and Keith'),
 (2, 'Changi Village Terminal'),
 (2, 'Changi South Avenue 4'),
 (2, 'Changi North Street 1'),
 (2, 'Changi Flyover'),
 (2, 'Changi Ferry Terminal'),
 (2, 'Changi Exhibition Centre'),
 (2, 'Changi Beach Park'),
 (2, 'Chander Road'),
 (2, 'Ceylon Road'),
 (2, 'Central Catchment Park Connector'),
 (2, 'Caterpillar'),
 (2, 'Casuarina Road'),
 (2, 'Casa Esperanza'),
 (2, 'Carpmael Road'),
 (2, 'Carpenter Street'),
 (2, 'Carpark B'),
 (2, 'Carpark 8'),
 (2, 'Carpark 7'),
 (2, 'Carpark 6'),
 (2, 'Carpark 17'),
 (2, 'Carpark 15'),
 (2, 'Carpark 14'),
 (2, 'Carpark 13'),
 (2, 'Carpark 12'),
 (2, 'Carpark 11'),
 (2, 'Carpark 1'),
 (2, 'Carnaval Mall'),
 (2, 'Carlisle Road'),
 (2, 'Car Park 2'),
 (2, 'Car Park (Holiday Plaza)'),
 (2, 'Car Park (Aeon Jusco) Roof top'),
 (2, 'Capital Tower'),
 (2, 'Cantonment Towers'),
 (2, 'Canossa Convent Primary School'),
 (2, 'Canning Walk'),
 (2, 'Canberra Park Connector'),
 (2, 'Campbell Lane'),
 (2, 'Cameras, Electronics, and Computers'),
 (2, 'Calpower Sdn. Bhd.'),
 (2, 'Cairnhill Road'),
 (2, 'Cairnhill Plaza'),
 (2, 'Cactus Crescent'),
 (2, 'Cable Road'),
 (2, "CP 'D'"),
 (2, 'CIQ (Motorcar & Motorcycle)'),
 (2, 'CEVA  Logistics'),
 (2, 'C-1'),
 (2, 'Butik Merah Central'),
 (2, 'Bussorah Street'),
 (2, 'Bus Stop'),
 (2, 'Bus Only'),
 (2, 'Burn Road'),
 (2, 'Burghley Drive'),
 (2, 'Buona Vista Terminal'),
 (2, 'Buona Vista Flyover'),
 (2, 'Bunga Rampai Place'),
 (2, 'Bundaran Sukajati'),
 (2, 'Bundara Sukajadi.2'),
 (2, 'Bumi Sakinah'),
 (2, 'Bukit Tunggal Road'),
 (2, 'Bukit Timah Underpass'),
 (2, 'Bukit Timah Flyover'),
 (2, 'Bukit Sedap Road'),
 (2, 'Bukit Panjang Link'),
 (2, 'Bukit Mugliston'),
 (2, 'Bukit Merah View'),
 (2, 'Bukit Manis Road'),
 (2, 'Bukit Batok West Avenue 8'),
 (2, 'Bukit Batok West Avenue 7'),
 (2, 'Bukit Batok West Avenue 4'),
 (2, 'Bukit Batok Street 31'),
 (2, 'Bukit Batok Street 11'),
 (2, 'Bukit Batok Park Connector'),
 (2, 'Bukit Batok Interchange'),
 (2, 'Bukit Batok Flyover'),
 (2, 'Bukit Batok East Avenue 3 Exit'),
 (2, 'Bukit Batok East Avenue 2'),
 (2, 'Bukit Batok Crescent'),
 (2, 'Buangkok Flyover'),
 (2, 'Bt Merah Flyover'),
 (2, 'Brizay Park'),
 (2, 'Bright Hill Cresent'),
 (2, 'Braddell Flyover'),
 (2, 'Borneo Motors'),
 (2, 'Boon Teck Road'),
 (2, 'Boon Tat Street'),
 (2, 'Boon Lay Place'),
 (2, 'Bni Sei.Panas'),
 (2, 'Blue Square Grade Trail'),
 (2, 'Bloxhome Drive'),
 (2, 'Blok B'),
 (2, 'Blok A'),
 (2, 'Block 6'),
 (2, 'Block 2'),
 (2, 'Blk 93'),
 (2, 'Blk 8A'),
 (2, 'Blk 78A'),
 (2, 'Blk 708'),
 (2, 'Blk 707'),
 (2, 'Blk 706'),
 (2, 'Blk 705'),
 (2, 'Blk 704'),
 (2, 'Blk 703'),
 (2, 'Blk 702'),
 (2, 'Blk 701'),
 (2, 'Blk 70'),
 (2, 'Blk 672B'),
 (2, 'Blk 672A'),
 (2, 'Blk 668'),
 (2, 'Blk 664'),
 (2, 'Blk 663'),
 (2, 'Blk 662'),
 (2, 'Blk 661'),
 (2, 'Blk 656'),
 (2, 'Blk 650'),
 (2, 'Blk 641'),
 (2, 'Blk 637'),
 (2, 'Blk 635C'),
 (2, 'Blk 635B'),
 (2, 'Blk 635A'),
 (2, 'Blk 634'),
 (2, 'Blk 633B'),
 (2, 'Blk 633A'),
 (2, 'Blk 632B'),
 (2, 'Blk 632A'),
 (2, 'Blk 632'),
 (2, 'Blk 631'),
 (2, 'Blk 627'),
 (2, 'Blk 626'),
 (2, 'Blk 625A'),
 (2, 'Blk 625'),
 (2, 'Blk 624'),
 (2, 'Blk 623'),
 (2, 'Blk 622'),
 (2, 'Blk 621'),
 (2, 'Blk 620'),
 (2, 'Blk 62'),
 (2, 'Blk 619'),
 (2, 'Blk 618'),
 (2, 'Blk 617A'),
 (2, 'Blk 617'),
 (2, 'Blk 615A'),
 (2, 'Blk 615'),
 (2, 'Blk 613B'),
 (2, 'Blk 613A'),
 (2, 'Blk 611A'),
 (2, 'Blk 604A'),
 (2, 'Blk 603A'),
 (2, 'Blk 5A'),
 (2, 'Blk 545'),
 (2, 'Blk 544'),
 (2, 'Blk 543'),
 (2, 'Blk 542'),
 (2, 'Blk 541A'),
 (2, 'Blk 541'),
 (2, 'Blk 540'),
 (2, 'Blk 537'),
 (2, 'Blk 536'),
 (2, 'Blk 535'),
 (2, 'Blk 534'),
 (2, 'Blk 533A'),
 (2, 'Blk 533'),
 (2, 'Blk 532'),
 (2, 'Blk 531'),
 (2, 'Blk 530'),
 (2, 'Blk 529'),
 (2, 'Blk 528'),
 (2, 'Blk 527'),
 (2, 'Blk 526'),
 (2, 'Blk 525'),
 (2, 'Blk 524'),
 (2, 'Blk 523'),
 (2, 'Blk 520'),
 (2, 'Blk 513A'),
 (2, 'Blk 487'),
 (2, 'Blk 486'),
 (2, 'Blk 485'),
 (2, 'Blk 484'),
 (2, 'Blk 483'),
 (2, 'Blk 482'),
 (2, 'Blk 481'),
 (2, 'Blk 480'),
 (2, 'Blk 479'),
 (2, 'Blk 478'),
 (2, 'Blk 477'),
 (2, 'Blk 476A'),
 (2, 'Blk 476'),
 (2, 'Blk 475'),
 (2, 'Blk 465'),
 (2, 'Blk 463'),
 (2, 'Blk 462'),
 (2, 'Blk 455A'),
 (2, 'Blk 452'),
 (2, 'Blk 441'),
 (2, 'Blk 439'),
 (2, 'Blk 438'),
 (2, 'Blk 437'),
 (2, 'Blk 436'),
 (2, 'Blk 3A'),
 (2, 'Blk 37A'),
 (2, 'Blk 355'),
 (2, 'Blk 354'),
 (2, 'Blk 353'),
 (2, 'Blk 352'),
 (2, 'Blk 351'),
 (2, 'Blk 350'),
 (2, 'Blk 345'),
 (2, 'Blk 344'),
 (2, 'Blk 342'),
 (2, 'Blk 341'),
 (2, 'Blk 340'),
 (2, 'Blk 333'),
 (2, 'Blk 318'),
 (2, 'Blk 308'),
 (2, 'Blk 307'),
 (2, 'Blk 306'),
 (2, 'Blk 305'),
 (2, 'Blk 304'),
 (2, 'Blk 303'),
 (2, 'Blk 2D'),
 (2, 'Blk 297B'),
 (2, 'Blk 297A'),
 (2, 'Blk 297'),
 (2, 'Blk 296'),
 (2, 'Blk 295'),
 (2, 'Blk 294'),
 (2, 'Blk 293'),
 (2, 'Blk 292'),
 (2, 'Blk 28A'),
 (2, 'Blk 275'),
 (2, 'Blk 274'),
 (2, 'Blk 272'),
 (2, 'Blk 267'),
 (2, 'Blk 252'),
 (2, 'Blk 251'),
 (2, 'Blk 250'),
 (2, 'Blk 249'),
 (2, 'Blk 248'),
 (2, 'Blk 245'),
 (2, 'Blk 241'),
 (2, 'Blk 23A'),
 (2, 'Blk 239'),
 (2, 'Blk 238'),
 (2, 'Blk 237'),
 (2, 'Blk 236'),
 (2, 'Blk 235'),
 (2, 'Blk 234'),
 (2, 'Blk 233'),
 (2, 'Blk 232'),
 (2, 'Blk 231'),
 (2, 'Blk 230'),
 (2, 'Blk 229'),
 (2, 'Blk 228'),
 (2, 'Blk 227'),
 (2, 'Blk 225'),
 (2, 'Blk 224'),
 (2, 'Blk 223'),
 (2, 'Blk 221'),
 (2, 'Blk 219'),
 (2, 'Blk 218'),
 (2, 'Blk 216'),
 (2, 'Blk 214'),
 (2, 'Blk 208'),
 (2, 'Blk 204A'),
 (2, 'Blk 203A'),
 (2, 'Blk 1A'),
 (2, 'Blk 19A'),
 (2, 'Blk 199A'),
 (2, 'Blk 199'),
 (2, 'Blk 196'),
 (2, 'Blk 194'),
 (2, 'Blk 193'),
 (2, 'Blk 192'),
 (2, 'Blk 191'),
 (2, 'Blk 190'),
 (2, 'Blk 18A'),
 (2, 'Blk 188'),
 (2, 'Blk 187'),
 (2, 'Blk 180A'),
 (2, 'Blk 178'),
 (2, 'Blk 175A'),
 (2, 'Blk 175'),
 (2, 'Blk 174'),
 (2, 'Blk 171A'),
 (2, 'Blk 170A'),
 (2, 'Blk 170'),
 (2, 'Blk 168'),
 (2, 'Blk 167'),
 (2, 'Blk 164/165'),
 (2, 'Blk 163B'),
 (2, 'Blk 161A'),
 (2, 'Blk 160A'),
 (2, 'Blk 158A'),
 (2, 'Blk 14A'),
 (2, 'Blk 135A'),
 (2, 'Blk 126C'),
 (2, 'Blk 126B'),
 (2, 'Blk 118A'),
 (2, 'Blk 109A'),
 (2, 'Blk 104A'),
 (2, 'Bishan-Ang Mo Kio Park'),
 (2, 'Bishan Street 15'),
 (2, 'Biopolis Street'),
 (2, 'Binjai Rise'),
 (2, 'Binchang Rise'),
 (2, 'Bideford Road'),
 (2, 'Bestmart CarPark'),
 (2, 'Benoi Sector'),
 (2, 'Benoi Flyover'),
 (2, 'Begonia Drive'),
 (2, 'Bedok Ria Place'),
 (2, 'Bedok Reservoir Flyover'),
 (2, 'Bedok North Street 4'),
 (2, 'Bedok North Street 3'),
 (2, 'Bedok North Flyover'),
 (2, 'Bedok Garden'),
 (2, 'Beatty Road'),
 (2, 'Beach'),
 (2, 'Batu Batam Permai'),
 (2, 'Bartley Viaduct'),
 (2, 'Banyan Avenue'),
 (2, 'Bank Indonesia'),
 (2, 'Bangunan Kolam Renang'),
 (2, 'Bangkit Road'),
 (2, 'Bandar Mas'),
 (2, 'Banda Street'),
 (2, 'Balestier Point'),
 (2, 'Bahar Flyover'),
 (2, 'Badminton Court'),
 (2, 'Badminton'),
 (2, 'Bachelor Drive'),
 (2, 'Babirusa'),
 (2, 'BHPetrol'),
 (2, 'Ayer Rajah Bus Park'),
 (2, 'Avondale Grammar School'),
 (2, 'Auto Domina Sdn. Bhd.'),
 (2, 'Austin Heights Schools'),
 (2, 'Auckland Road West'),
 (2, 'Askoma Sdn. Bhd.'),
 (2, 'Aroozoo Ave'),
 (2, 'Armenian Street'),
 (2, 'Api Api Flyover'),
 (2, 'Ann Siang Road'),
 (2, 'Ang Mo Kio Underpass'),
 (2, 'Ang Mo Kio Street 53'),
 (2, 'Ang Mo Kio Street 13'),
 (2, 'Ang Mo Kio Park Connector'),
 (2, 'Ang Mo Kio Bus Interchange'),
 (2, 'Ang Mo Kio Avenue 2'),
 (2, 'Aneka Selera Sea Food'),
 (2, 'Andrews Terrace'),
 (2, 'Anderson Primary School'),
 (2, 'Anderson Bridge'),
 (2, 'Anchorvale Lane'),
 (2, 'Anchorvale Bridge'),
 (2, 'Amoy Street'),
 (2, 'Amber Park'),
 (2, 'Amber Gardens'),
 (2, 'Almond Crescent'),
 (2, 'Almond Avenue'),
 (2, 'Aljunied West Flyover'),
 (2, 'Aljunied Flyover'),
 (2, 'Alexandra Park Connector'),
 (2, 'Akyab Road'),
 (2, 'Airline Road'),
 (2, 'Ai Tong School'),
 (2, 'Admiralty Street'),
 (2, 'Admiralty Link'),
 (2, 'Admiralty Lane'),
 (2, 'Admiralty Drive'),
 (2, 'A57'),
 (2, 'A-3'),
 (2, 'A'),
 (2, '9B'),
 (2, '991D'),
 (2, '92'),
 (2, '899A'),
 (2, '898A'),
 (2, '897A'),
 (2, '896A'),
 (2, '895A'),
 (2, '894A'),
 (2, '893A'),
 (2, '893'),
 (2, '892A'),
 (2, '891A'),
 (2, '89 Bukit Dr Hindhede Loop'),
 (2, '89'),
 (2, '889A'),
 (2, '888'),
 (2, '887A'),
 (2, '886A'),
 (2, '886'),
 (2, '883'),
 (2, '882'),
 (2, '881'),
 (2, '88'),
 (2, '874A'),
 (2, '869'),
 (2, '861'),
 (2, '859A'),
 (2, '857'),
 (2, '856'),
 (2, '847'),
 (2, '845'),
 (2, '843'),
 (2, '842'),
 (2, '84'),
 (2, '831'),
 (2, '82'),
 (2, '818'),
 (2, '814'),
 (2, '801'),
 (2, '798'),
 (2, '797'),
 (2, '796'),
 (2, '795'),
 (2, '794'),
 (2, '793'),
 (2, '792'),
 (2, '791'),
 (2, '790'),
 (2, '79'),
 (2, '789'),
 (2, '788'),
 (2, '787'),
 (2, '78'),
 (2, '775'),
 (2, '774'),
 (2, '773'),
 (2, '772'),
 (2, '771'),
 (2, '770'),
 (2, '769'),
 (2, '767'),
 (2, '761'),
 (2, '756'),
 (2, '755'),
 (2, '753'),
 (2, '750'),
 (2, '75'),
 (2, '749'),
 (2, '748'),
 (2, '747'),
 (2, '746'),
 (2, '745'),
 (2, '743'),
 (2, '73'),
 (2, '718A MSCP'),
 (2, '714A MSCP'),
 (2, '701A MSCP'),
 (2, '6A'),
 (2, '682A'),
 (2, '666'),
 (2, '665'),
 (2, '664'),
 (2, '662'),
 (2, '661'),
 (2, '660'),
 (2, '659'),
 (2, '658'),
 (2, '657'),
 (2, '656'),
 (2, '655'),
 (2, '654'),
 (2, '653'),
 (2, '649A MSCP'),
 (2, '633A'),
 (2, '62A'),
 (2, '628A'),
 (2, '614A MSCP'),
 (2, '589'),
 (2, '588C'),
 (2, '588A'),
 (2, '587'),
 (2, '586A MSCP'),
 (2, '583'),
 (2, '582'),
 (2, '581'),
 (2, '580'),
 (2, '579'),
 (2, '578A MSCP'),
 (2, '577'),
 (2, '574'),
 (2, '573'),
 (2, '570'),
 (2, '566'),
 (2, '564'),
 (2, '562'),
 (2, '561'),
 (2, '559'),
 (2, '550A MSCP'),
 (2, '546A MSCP'),
 (2, '536A MSCP'),
 (2, '52A'),
 (2, '506A'),
 (2, '505 MSCP'),
 (2, '502A'),
 (2, '500'),
 (2, '491'),
 (2, '474'),
 (2, '473'),
 (2, '472'),
 (2, '471'),
 (2, '470'),
 (2, '468'),
 (2, '467'),
 (2, '466'),
 (2, '465'),
 (2, '464'),
 (2, '460'),
 (2, '458'),
 (2, '456'),
 (2, '454'),
 (2, '453'),
 (2, '452'),
 (2, '448'),
 (2, '447'),
 (2, '444'),
 (2, '441'),
 (2, '434'),
 (2, '432'),
 (2, '431'),
 (2, '430'),
 (2, '406A MSCP'),
 (2, '3A'),
 (2, '395'),
 (2, '394'),
 (2, '393'),
 (2, '392'),
 (2, '391'),
 (2, '390'),
 (2, '389'),
 (2, '388'),
 (2, '387'),
 (2, '386'),
 (2, '385'),
 (2, '383'),
 (2, '375'),
 (2, '372'),
 (2, '368'),
 (2, '358A MSCP'),
 (2, '355A'),
 (2, '350A'),
 (2, '34A'),
 (2, '337A'),
 (2, '325A'),
 (2, '323A'),
 (2, '31A'),
 (2, '30A'),
 (2, '306A'),
 (2, '305 MSCP'),
 (2, '3017'),
 (2, '3015'),
 (2, '3014'),
 (2, '300'),
 (2, '299'),
 (2, '298'),
 (2, '297'),
 (2, '296'),
 (2, '292'),
 (2, '291D'),
 (2, '291C'),
 (2, '291B'),
 (2, '291A'),
 (2, '290C'),
 (2, '290B'),
 (2, '290A'),
 (2, '288G'),
 (2, '26A'),
 (2, '269'),
 (2, '259A'),
 (2, '234A'),
 (2, '228A'),
 (2, '226C'),
 (2, '226B'),
 (2, '226A'),
 (2, '225A'),
 (2, '210A'),
 (2, '1A'),
 (2, '197'),
 (2, '196'),
 (2, '195'),
 (2, '191'),
 (2, '190A'),
 (2, '189'),
 (2, '188A'),
 (2, '187'),
 (2, '185'),
 (2, '17A'),
 (2, '159A'),
 (2, '152B'),
 (2, '152A'),
 (2, '13A'),
 (2, '121A'),
 (2, '115A'),
 (2, '1046'),
 (2, '1045'),
 (2, '1042'),
 (2, '1041'),
 (2, '1036'),
 (2, '1008'),
 (2, '1004'),
 (1, u'\u8db3\u7403\u5834'),
 (1, u'\u842c\u570b\u5c71\u5fe0\u7fa9\u5edf Chong Yee Temple'),
 (1, u'\u6821\u8eca\u505c\u8eca\u5834'),
 (1, u'\u64cd\u5834'),
 (1, u'\u6236\u5916\u7c43\u7403\u5834'),
 (1, u'\u5c0f\u516c\u56ed'),
 (1, u'\u53e4\u6765\u4e00\u6821 SJK (C) Kulai 1'),
 (1, u'\u505c\u8eca\u5834'),
 (1, 'yo:HA @ jurong'),
 (1, 'woodball fairways'),
 (1, 'water tank'),
 (1, 'unknown'),
 (1, 'under construction'),
 (1, 'tree Business City'),
 (1, 'to Petri Jaya'),
 (1, 'the Tree House'),
 (1, 'tennis court'),
 (1, 'tennis'),
 (1, 'temple'),
 (1, 'sekolah kebangsaan gelang patah'),
 (1, 'recreation ground'),
 (1, 'produa service center'),
 (1, 'perumahan marbella'),
 (1, 'perum. Aku Tahu 3'),
 (1, 'perpustakaan zarith sofea'),
 (1, 'onepeople.sg'),
 (1, 'nex'),
 (1, 'myVillage at Serangoon Garden'),
 (1, 'my way'),
 (1, 'makmal penyelidikan'),
 (1, 'link toilet toT3/T3A'),
 (1, 'link D to T2'),
 (1, 'link C toT3/T3A'),
 (1, 'k'),
 (1, 'jogging track and soccer field'),
 (1, 'jalan pesona 12'),
 (1, 'jalan mawar putih'),
 (1, 'jalan mawar 60'),
 (1, 'jalan mawar 59'),
 (1, 'jalan mawar 58'),
 (1, 'jalan mawar 57'),
 (1, 'jalan mawar 56'),
 (1, 'jalan mawar 55'),
 (1, 'jalan mawar 54'),
 (1, 'jalan mawar 53'),
 (1, 'jalan mawar 52'),
 (1, 'jalan mawar 51'),
 (1, 'jalan mawar 50'),
 (1, 'jalan mawar 49'),
 (1, 'jalan mawar 48'),
 (1, 'jalan mawar 47'),
 (1, 'jalan mawar 46'),
 (1, 'jalan mawar 45'),
 (1, 'jalan mawar 44'),
 (1, 'jalan mawar 43'),
 (1, 'jalan mawar 42'),
 (1, 'jalan mawar 41'),
 (1, 'jalan mawar 39'),
 (1, 'jalan mawar 38'),
 (1, 'jalan mawar 37'),
 (1, 'jalan mawar 36'),
 (1, 'jalan mawar 35'),
 (1, 'jalan mawar 34'),
 (1, 'jalan mawar 33'),
 (1, 'jalan mawar 32'),
 (1, 'jalan mawar 31'),
 (1, 'jalan mawar 30'),
 (1, 'jalan mawar 29'),
 (1, 'jalan mawar 28'),
 (1, 'jalan mawar 27'),
 (1, 'jalan mawar 26'),
 (1, 'jalan mawar 25'),
 (1, 'jalan mawar 24'),
 (1, 'jalan mawar 23'),
 (1, 'jalan mawar 22'),
 (1, 'jalan mawar 21'),
 (1, 'jalan mawar 20'),
 (1, 'jalan mawar 19'),
 (1, 'jalan mawar 18'),
 (1, 'jalan mawar 17'),
 (1, 'jalan mawar 16'),
 (1, 'jalan mawar 15'),
 (1, 'jalan mawar 14'),
 (1, 'jalan Senter Utama'),
 (1, 'jalan Hj Yaacob'),
 (1, 'jalan 10/28'),
 (1, 'ibis Singapore Novena'),
 (1, 'iStudio'),
 (1, 'iResidences'),
 (1, 'iQuest@IBP'),
 (1, 'iMedini Walk'),
 (1, 'iFly Singapore'),
 (1, 'hotel Granada'),
 (1, 'ho Teak Furniture Sdn. Bhd.'),
 (1, 'hands-On House'),
 (1, 'gel'),
 (1, 'gazebo'),
 (1, 'fuel'),
 (1, 'forest'),
 (1, 'footbridge'),
 (1, 'fakulti sains'),
 (1, 'fakulti biosains'),
 (1, 'entrance to Clementi Ave 2 Food Centre'),
 (1, 'empty space'),
 (1, 'eleven^2'),
 (1, 'dirt track'),
 (1, "d'leedon"),
 (1, 'covered walkway'),
 (1, 'clubhouse Marbella'),
 (1, 'car parking d'),
 (1, 'car parking c'),
 (1, 'car park exit'),
 (1, 'car park entrance'),
 (1, u'bukit indah \u5e7c\u513f\u56ed'),
 (1, 'buUuk HQ 2.0'),
 (1, 'brigde'),
 (1, 'blk 73'),
 (1, 'blk 69'),
 (1, 'blk 68'),
 (1, 'blk 67'),
 (1, 'blk 66'),
 (1, 'blk 169'),
 (1, 'blk 167'),
 (1, 'blk 166'),
 (1, 'blk 162'),
 (1, 'blk 161'),
 (1, 'blk 155'),
 (1, 'basketball court'),
 (1, 'balai pengawal'),
 (1, 'an Dedaru 8'),
 (1, 'agape kids campus'),
 (1, 'a-reit'),
 (1, 'Zubir Said Drive'),
 (1, 'Zoo Neger Johor'),
 (1, 'Zion Riverside'),
 (1, 'Zion Christian Ctr'),
 (1, 'Zion Bible Presbyterian Church'),
 (1, 'Zi Yun Kai Ji Kong Tp 56'),
 (1, 'Zhongshan Park'),
 (1, 'Zhongshan Mall / Ramada Hotel'),
 (1, 'Zhonghua Secondary School'),
 (1, 'Zhonghua Primary School'),
 (1, 'Zhong Yi Tian Ming Tp'),
 (1, 'Zhenghua Secondary School'),
 (1, 'Zhenghua Primary School'),
 (1, 'Zhenghua Park'),
 (1, 'Zhenghua Community Club'),
 (1, 'Zheng Hua Park Connector'),
 (1, 'Zhen Ren Gong Temple'),
 (1, 'Zhangde Primary School'),
 (1, 'Zepsilk Technology Sdn. Bhd.'),
 (1, 'Zeolite and Nanostructured Material Laboratory'),
 (1, 'Zenith'),
 (1, 'Zehnder Road'),
 (1, 'Zebra'),
 (1, 'Zara'),
 (1, 'Zaihar Motors Sdn. Bhd.'),
 (1, 'Zaibi Motor Sdn. Bhd.'),
 (1, 'Zagro Global Hub'),
 (1, 'Yuying Secondary School'),
 (1, 'Yusof Ishak Secondary School'),
 (1, 'Yusof Ishak House'),
 (1, 'Yusen Logistics (Singapore) Pte Ltd'),
 (1, 'Yunnan Walk 3'),
 (1, 'Yunnan Walk 2'),
 (1, 'Yunnan Walk 1'),
 (1, 'Yunnan Road'),
 (1, 'Yunnan Park'),
 (1, 'Yunnan Gardens'),
 (1, 'Yunnan Garden'),
 (1, 'Yunnan Drive 3'),
 (1, 'Yunnan Drive 2'),
 (1, 'Yunnan Drive 1'),
 (1, 'Yung Sheng Road'),
 (1, 'Yung Ho Spring'),
 (1, 'Yung An Road'),
 (1, 'Yun Chee Bldg 2'),
 (1, 'Yun Chee Bldg'),
 (1, 'Yumin Primary School'),
 (1, 'Yukilon MFG Sdn. Bhd.'),
 (1, 'Yuk Tong Avenue'),
 (1, 'Yuhua Village Market & Food Centre'),
 (1, 'Yuhua Primary School'),
 (1, 'Yuhua Place Market & Food Center'),
 (1, 'Yuhua Community Club'),
 (1, 'Yueh Hai Ching Tp'),
 (1, 'Yue Hwa Building'),
 (1, 'Yuan Li Construction and Trading'),
 (1, 'Yuan Ching Secondary School'),
 (1, 'Yu Neng Primary School'),
 (1, 'Youth Flying Club'),
 (1, 'Youngberg Terrace'),
 (1, 'York Hotel'),
 (1, 'York Hill'),
 (1, 'Yong Siew Toh Conservatory of Music'),
 (1, 'Yong Siak Street'),
 (1, 'Yong Nam'),
 (1, 'Yong An Park'),
 (1, 'Yison Die-Casting & Die Sdn. Bhd.'),
 (1, 'Yishun Town Secondary School'),
 (1, 'Yishun Town Gdn'),
 (1, 'Yishun Town Combined Tp'),
 (1, 'Yishun Street 81'),
 (1, 'Yishun Street 71'),
 (1, 'Yishun Street 61'),
 (1, 'Yishun Street 31'),
 (1, 'Yishun Street 23'),
 (1, 'Yishun Street 21'),
 (1, 'Yishun Street 11'),
 (1, 'Yishun Stadium'),
 (1, 'Yishun Sport Complex'),
 (1, 'Yishun Secondary School'),
 (1, 'Yishun Sapphire'),
 (1, 'Yishun Riverwalk'),
 (1, 'Yishun Reservoir Park'),
 (1, 'Yishun Primary School'),
 (1, 'Yishun Pond'),
 (1, 'Yishun Polyclinic (NHG)'),
 (1, 'Yishun Polyclinic'),
 (1, 'Yishun Park Connector'),
 (1, 'Yishun Park'),
 (1, 'Yishun Neighbourhood Park'),
 (1, 'Yishun Natura'),
 (1, 'Yishun Junior College'),
 (1, 'Yishun Industrial Street 1'),
 (1, 'Yishun Greenwalk'),
 (1, 'Yishun Green Lk'),
 (1, 'Yishun Emerald'),
 (1, 'Yishun East Park'),
 (1, 'Yishun Dam'),
 (1, 'Yishun Columbarium'),
 (1, 'Yishun Christian Church'),
 (1, 'Yishun BP'),
 (1, 'Yishun Avenue 8'),
 (1, 'Yio Chu Kang Terrace'),
 (1, 'Yio Chu Kang Telephone Exchange'),
 (1, 'Yio Chu Kang Swimming Complex'),
 (1, 'Yio Chu Kang Stadium'),
 (1, 'Yio Chu Kang Secondary School'),
 (1, 'Yio Chu Kang Primary School'),
 (1, 'Yio Chu Kang Community Club'),
 (1, 'Yio Chu Kang Chapel'),
 (1, 'Yio Chu Kang Amenities Ctr'),
 (1, 'Ying Fo Fui Kun Cemetery'),
 (1, 'Yew Tee Square'),
 (1, 'Yew Tee Residences'),
 (1, 'Yew Tee Primary School'),
 (1, 'Yew Tee Point'),
 (1, 'Yew Tee Park'),
 (1, 'Yew Tee Industrial Estate'),
 (1, 'Yew Tee Community Club'),
 (1, 'Yew Mei Green'),
 (1, 'Yess Centre'),
 (1, 'Yes Goumet Sdn. Bhd.'),
 (1, 'Yen I Ind Bldg'),
 (1, 'Yellow Pages Bldg'),
 (1, 'Yarrow Gardens'),
 (1, 'Yangzheng Primary School'),
 (1, 'Yang Hua Cake House'),
 (1, 'Yamud Enterprise Sdn. Bhd.'),
 (1, 'Yale-NUS College'),
 (1, 'YWCA Fort Canning Lodge'),
 (1, 'YS-One'),
 (1, 'YMCA'),
 (1, 'Xishan Primary School'),
 (1, 'Xinmin Secondary School'),
 (1, 'Xinmin Primary School'),
 (1, 'Xinghua Primary School'),
 (1, 'Xing Nan Primary School'),
 (1, 'Xin Wang Hong Kong Cafe'),
 (1, 'Xilin'),
 (1, 'XX Simplicity'),
 (1, 'Wu Tai Shan Buddist Temple'),
 (1, 'Worthing Road'),
 (1, 'World of Palms'),
 (1, 'World Publications Building'),
 (1, 'Workshop Road'),
 (1, 'Woolwich Road'),
 (1, 'Woodsville Mansion'),
 (1, 'Woodsville Close'),
 (1, 'Woodsville 28'),
 (1, 'Woodsvale'),
 (1, 'Woodleigh Close'),
 (1, 'Woodlands Way'),
 (1, 'Woodlands Waterfront'),
 (1, 'Woodlands Town Park East'),
 (1, 'Woodlands Town Garden'),
 (1, 'Woodlands Terrace'),
